== RENDER LOGGER ==
Study the following SDL_RenderCopyEx() calls to debug render-related issues.
Enable render logger mode on your computer by setting the RENDERLOGGER environmental variable.
frame:actor_id:actor_name

20:-1: dstrect 303.646 176.5 30.9333 30.9333 angle 0 flip 0 renderscale 1 1
20:-1: dstrect 311.049 154.457 30.9333 30.9333 angle 0 flip 0 renderscale 1 1
20:-1: dstrect 302.786 176.405 30.9333 30.9333 angle 0 flip 0 renderscale 1 1
20:-1: dstrect 307.624 152.938 30.9333 30.9333 angle 0 flip 0 renderscale 1 1
20:-1: dstrect 312.846 155.879 30.9333 30.9333 angle 0 flip 0 renderscale 1 1
20:-1: dstrect 293.352 160.178 30.9333 30.9333 angle 0 flip 0 renderscale 1 1
20:-1: dstrect 292.943 167.642 30.9333 30.9333 angle 0 flip 0 renderscale 1 1
20:-1: dstrect 311.7 154.908 30.9333 30.9333 angle 0 flip 0 renderscale 1 1
20:-1: dstrect 315.962 168.191 30.9333 30.9333 angle 0 flip 0 renderscale 1 1
20:-1: dstrect 304.935 176.527 30.9333 30.9333 angle 0 flip 0 renderscale 1 1
20:-1: dstrect 313.503 156.562 30.9333 30.9333 angle 0 flip 0 renderscale 1 1
20:-1: dstrect 293.353 168.892 30.9333 30.9333 angle 0 flip 0 renderscale 1 1
20:-1: dstrect 292.858 167.308 30.9333 30.9333 angle 0 flip 0 renderscale 1 1
20:-1: dstrect 297.211 174.04 30.9333 30.9333 angle 0 flip 0 renderscale 1 1
20:-1: dstrect 300.365 175.786 30.9333 30.9333 angle 0 flip 0 renderscale 1 1
20:-1: dstrect 316.026 167.987 30.9333 30.9333 angle 0 flip 0 renderscale 1 1
20:-1: dstrect 293.51 159.791 30.9333 30.9333 angle 0 flip 0 renderscale 1 1
20:-1: dstrect 295.214 156.974 30.9333 30.9333 angle 0 flip 0 renderscale 1 1
20:-1: dstrect 296.721 155.425 30.9333 30.9333 angle 0 flip 0 renderscale 1 1
20:-1: dstrect 314.698 158.156 30.9333 30.9333 angle 0 flip 0 renderscale 1 1
21:-1: dstrect 298.696 150.01 30.4 30.4 angle 0 flip 0 renderscale 1 1
21:-1: dstrect 302.725 180.665 30.4 30.4 angle 0 flip 0 renderscale 1 1
21:-1: dstrect 290.38 157.867 30.4 30.4 angle 0 flip 0 renderscale 1 1
21:-1: dstrect 320.781 164.029 30.4 30.4 angle 0 flip 0 renderscale 1 1
21:-1: dstrect 300.522 149.382 30.4 30.4 angle 0 flip 0 renderscale 1 1
21:-1: dstrect 311.871 150.447 30.4 30.4 angle 0 flip 0 renderscale 1 1
21:-1: dstrect 307.608 180.552 30.4 30.4 angle 0 flip 0 renderscale 1 1
21:-1: dstrect 289.48 160.187 30.4 30.4 angle 0 flip 0 renderscale 1 1
21:-1: dstrect 317.596 174.406 30.4 30.4 angle 0 flip 0 renderscale 1 1
21:-1: dstrect 318.398 173.232 30.4 30.4 angle 0 flip 0 renderscale 1 1
21:-1: dstrect 303.616 180.756 30.4 30.4 angle 0 flip 0 renderscale 1 1
21:-1: dstrect 313.488 151.364 30.4 30.4 angle 0 flip 0 renderscale 1 1
21:-1: dstrect 302.47 180.629 30.4 30.4 angle 0 flip 0 renderscale 1 1
21:-1: dstrect 308.92 149.34 30.4 30.4 angle 0 flip 0 renderscale 1 1
21:-1: dstrect 315.884 153.261 30.4 30.4 angle 0 flip 0 renderscale 1 1
21:-1: dstrect 289.891 158.993 30.4 30.4 angle 0 flip 0 renderscale 1 1
21:-1: dstrect 289.346 168.944 30.4 30.4 angle 0 flip 0 renderscale 1 1
21:-1: dstrect 314.356 151.967 30.4 30.4 angle 0 flip 0 renderscale 1 1
21:-1: dstrect 320.039 169.677 30.4 30.4 angle 0 flip 0 renderscale 1 1
21:-1: dstrect 305.335 180.791 30.4 30.4 angle 0 flip 0 renderscale 1 1
21:-1: dstrect 316.76 154.172 30.4 30.4 angle 0 flip 0 renderscale 1 1
21:-1: dstrect 289.893 170.612 30.4 30.4 angle 0 flip 0 renderscale 1 1
21:-1: dstrect 289.233 168.499 30.4 30.4 angle 0 flip 0 renderscale 1 1
21:-1: dstrect 295.036 177.476 30.4 30.4 angle 0 flip 0 renderscale 1 1
21:-1: dstrect 299.243 179.804 30.4 30.4 angle 0 flip 0 renderscale 1 1
21:-1: dstrect 320.123 169.405 30.4 30.4 angle 0 flip 0 renderscale 1 1
21:-1: dstrect 290.102 158.477 30.4 30.4 angle 0 flip 0 renderscale 1 1
21:-1: dstrect 292.374 154.72 30.4 30.4 angle 0 flip 0 renderscale 1 1
21:-1: dstrect 294.383 152.655 30.4 30.4 angle 0 flip 0 renderscale 1 1
21:-1: dstrect 318.353 156.297 30.4 30.4 angle 0 flip 0 renderscale 1 1
22:-1: dstrect 297.436 146.58 29.8667 29.8667 angle 0 flip 0 renderscale 1 1
22:-1: dstrect 302.474 184.898 29.8667 29.8667 angle 0 flip 0 renderscale 1 1
22:-1: dstrect 287.042 156.401 29.8667 29.8667 angle 0 flip 0 renderscale 1 1
22:-1: dstrect 325.043 164.103 29.8667 29.8667 angle 0 flip 0 renderscale 1 1
22:-1: dstrect 299.72 145.795 29.8667 29.8667 angle 0 flip 0 renderscale 1 1
22:-1: dstrect 313.905 147.126 29.8667 29.8667 angle 0 flip 0 renderscale 1 1
22:-1: dstrect 308.577 184.756 29.8667 29.8667 angle 0 flip 0 renderscale 1 1
22:-1: dstrect 285.916 159.3 29.8667 29.8667 angle 0 flip 0 renderscale 1 1
22:-1: dstrect 321.061 177.074 29.8667 29.8667 angle 0 flip 0 renderscale 1 1
22:-1: dstrect 322.064 175.606 29.8667 29.8667 angle 0 flip 0 renderscale 1 1
22:-1: dstrect 303.587 185.012 29.8667 29.8667 angle 0 flip 0 renderscale 1 1
22:-1: dstrect 315.927 148.272 29.8667 29.8667 angle 0 flip 0 renderscale 1 1
22:-1: dstrect 302.154 184.853 29.8667 29.8667 angle 0 flip 0 renderscale 1 1
22:-1: dstrect 310.217 145.741 29.8667 29.8667 angle 0 flip 0 renderscale 1 1
22:-1: dstrect 318.921 150.643 29.8667 29.8667 angle 0 flip 0 renderscale 1 1
22:-1: dstrect 286.43 157.808 29.8667 29.8667 angle 0 flip 0 renderscale 1 1
22:-1: dstrect 285.749 170.247 29.8667 29.8667 angle 0 flip 0 renderscale 1 1
22:-1: dstrect 317.011 149.025 29.8667 29.8667 angle 0 flip 0 renderscale 1 1
22:-1: dstrect 324.115 171.163 29.8667 29.8667 angle 0 flip 0 renderscale 1 1
22:-1: dstrect 305.736 185.055 29.8667 29.8667 angle 0 flip 0 renderscale 1 1
22:-1: dstrect 320.017 151.782 29.8667 29.8667 angle 0 flip 0 renderscale 1 1
22:-1: dstrect 286.433 172.332 29.8667 29.8667 angle 0 flip 0 renderscale 1 1
22:-1: dstrect 285.608 169.69 29.8667 29.8667 angle 0 flip 0 renderscale 1 1
22:-1: dstrect 292.862 180.911 29.8667 29.8667 angle 0 flip 0 renderscale 1 1
22:-1: dstrect 298.12 183.822 29.8667 29.8667 angle 0 flip 0 renderscale 1 1
22:-1: dstrect 324.22 170.823 29.8667 29.8667 angle 0 flip 0 renderscale 1 1
22:-1: dstrect 286.694 157.163 29.8667 29.8667 angle 0 flip 0 renderscale 1 1
22:-1: dstrect 289.534 152.467 29.8667 29.8667 angle 0 flip 0 renderscale 1 1
22:-1: dstrect 292.046 149.886 29.8667 29.8667 angle 0 flip 0 renderscale 1 1
22:-1: dstrect 322.008 154.437 29.8667 29.8667 angle 0 flip 0 renderscale 1 1
23:-1: dstrect 296.177 143.149 29.3333 29.3333 angle 0 flip 0 renderscale 1 1
23:-1: dstrect 302.222 189.131 29.3333 29.3333 angle 0 flip 0 renderscale 1 1
23:-1: dstrect 283.703 154.934 29.3333 29.3333 angle 0 flip 0 renderscale 1 1
23:-1: dstrect 329.305 164.176 29.3333 29.3333 angle 0 flip 0 renderscale 1 1
23:-1: dstrect 298.917 142.207 29.3333 29.3333 angle 0 flip 0 renderscale 1 1
23:-1: dstrect 315.94 143.804 29.3333 29.3333 angle 0 flip 0 renderscale 1 1
23:-1: dstrect 309.545 188.961 29.3333 29.3333 angle 0 flip 0 renderscale 1 1
23:-1: dstrect 282.353 158.413 29.3333 29.3333 angle 0 flip 0 renderscale 1 1
23:-1: dstrect 324.527 179.742 29.3333 29.3333 angle 0 flip 0 renderscale 1 1
23:-1: dstrect 325.73 177.981 29.3333 29.3333 angle 0 flip 0 renderscale 1 1
23:-1: dstrect 303.558 189.268 29.3333 29.3333 angle 0 flip 0 renderscale 1 1
23:-1: dstrect 318.365 145.18 29.3333 29.3333 angle 0 flip 0 renderscale 1 1
23:-1: dstrect 301.838 189.077 29.3333 29.3333 angle 0 flip 0 renderscale 1 1
23:-1: dstrect 311.514 142.143 29.3333 29.3333 angle 0 flip 0 renderscale 1 1
23:-1: dstrect 321.959 148.025 29.3333 29.3333 angle 0 flip 0 renderscale 1 1
23:-1: dstrect 282.97 156.623 29.3333 29.3333 angle 0 flip 0 renderscale 1 1
23:-1: dstrect 282.152 171.55 29.3333 29.3333 angle 0 flip 0 renderscale 1 1
23:-1: dstrect 319.667 146.083 29.3333 29.3333 angle 0 flip 0 renderscale 1 1
23:-1: dstrect 328.191 172.649 29.3333 29.3333 angle 0 flip 0 renderscale 1 1
23:-1: dstrect 306.137 189.32 29.3333 29.3333 angle 0 flip 0 renderscale 1 1
23:-1: dstrect 323.274 149.391 29.3333 29.3333 angle 0 flip 0 renderscale 1 1
23:-1: dstrect 282.973 174.051 29.3333 29.3333 angle 0 flip 0 renderscale 1 1
23:-1: dstrect 281.984 170.882 29.3333 29.3333 angle 0 flip 0 renderscale 1 1
